created_at,updated_at,name,id,municipality_id
2023-06-12 05:12:02.438372 +00:00,2023-06-12 05:12:02.438380 +00:00,Desvío Cuyaguateje,41067,1132
2023-06-12 05:12:02.457678 +00:00,2023-06-12 05:12:02.457690 +00:00,Domingo Urquiola,262705,1132
2023-06-12 05:12:02.475906 +00:00,2023-06-12 05:12:02.475916 +00:00,E,294830,1132
2023-06-12 05:12:02.494610 +00:00,2023-06-12 05:12:02.494622 +00:00,E 1,136081,1132
2023-06-12 05:12:02.535081 +00:00,2023-06-12 05:12:02.535125 +00:00,E1 Interior,452872,1132
2023-06-12 05:12:02.560280 +00:00,2023-06-12 05:12:02.560302 +00:00,F,326582,1132
2023-06-12 05:12:02.586358 +00:00,2023-06-12 05:12:02.586375 +00:00,F 1,72336,1132
2023-06-12 05:12:02.604675 +00:00,2023-06-12 05:12:02.604720 +00:00,Felipe Margarejo,326411,1132
2023-06-12 05:12:02.623092 +00:00,2023-06-12 05:12:02.623101 +00:00,G,231110,1132
2023-06-12 05:12:02.660545 +00:00,2023-06-12 05:12:02.660555 +00:00,I,421583,1132
2023-06-12 05:12:02.697964 +00:00,2023-06-12 05:12:02.697975 +00:00,Ignacio Rodríguez,167946,1132
